ï»¿PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
3206,One.B Tower ,1946,1B TOWER CO. L.L.C,2025-03-01 00:00:00,2028-12-31 00:00:00,2024-09-25 11:55:29,Normal,438482401,0205886771202,ACTIVE,2.11,2025-04-25 08:57:34,,1 Billion Meals Endowment Residential & Retail Tower,Business Bay,Dubai Municipality,0,0.0,0.0,262.0,
3209,LAZORD BY LAPIS,1927,LAPIS PROPERTIES L.L.C,2025-01-01 00:00:00,2026-12-31 00:00:00,2024-09-03 20:51:05,Normal,60000000,019000084536,ACTIVE,2.36,2025-09-01 10:26:40,,RESIDENTIAL & COMMERCIAL BUILDING (B+G+3P+8) ,Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,0.0,313.0,
3211,Hillcrest,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-03-03 00:00:00,2027-06-30 00:00:00,2024-09-11 09:25:17,Normal,128985625,4031224702173068,ACTIVE,0,2024-07-26 11:44:21,,G+2P+12 + Parking in Ground Floor & Podium Floors,Al Yelayiss 2,Dubai Development Authority (DDA),0,0.0,0.0,171.0,
3218,Rome by SD,1688,SAMANA STAR REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-12-31 00:00:00,2024-11-04 12:41:01,Normal,22000000,1009718337,ACTIVE,2.79,2025-06-17 12:13:52,,"B+G+5+R.The project designed to have a concrete structure and block with internal and external finishes.
",Wadi Al Safa 3,Dubai Municipality,0,0.0,0.0,42.0,
3243,STAMN ONE,1943,STAMN REAL ESTATE DEVELOPMENT L.L.C,2025-02-15 00:00:00,2026-10-15 00:00:00,2024-12-18 18:29:35,Normal,29000000,1011226081896003,ACTIVE,0,2024-10-20 15:28:59,,G+2P+7+Roof.The project designed to have a concrete structure and block with internal and external finishes.,Al Satwa,Dubai Development Authority (DDA),0,0.0,0.0,77.0,
3245,Golf Grove by Regent,1995,REGENT STAR PROPERTY DEVELOPMENTS L.L.C,2025-01-02 00:00:00,2028-01-02 00:00:00,2025-02-20 12:38:27,Normal,30000000,0205909185702,ACTIVE,0,2025-01-08 19:05:07,,G+2P+7+R,Me'Aisem First,Dubai Development Authority (DDA),0,0.0,0.0,98.0,
3255,BELLARIA,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-01-25 00:00:00,2029-05-31 00:00:00,2024-08-29 00:00:00,Normal,696958024,10653441920049,CANCELLED,0,2024-08-20 19:45:10,,"Residential Development Consisting of 494 townhouses (G+1) and 146 semi detached units (G+2)
",Al Yelayiss 5,Dubai Municipality,,,,,
3258,GHARBI II RESIDENCES,1533,RABDAN REAL ESTATE DEVELOPMENT L.L.C,2025-01-21 00:00:00,2027-07-20 00:00:00,2025-02-19 14:12:27,Normal,120000000,1009820638,ACTIVE,6.8,2025-04-25 14:03:40,,"G+round floor + 4 podium + 26 Floors+ 2 Retail. 
Consist of studio with balcony= 46, 1 bedroom + balcony and pool=140 ,2 bedrooms + 
balcony and pool =44 and 3 bedroom penthouse with balcony and pool = 4   Total of 234 ",Al Barsha South Fourth,Trakhees,0,0.0,0.0,236.0,
3269,Eden House Dubai Hills,1738,SUNRISE VALLEY L.L.C,2025-10-11 00:00:00,2027-10-11 00:00:00,,Normal,150000000,,PENDING,0,2024-08-28 16:26:58,,"16 Villas A"" ( G+1 ) + 16 Villas ""B"" ( G+2) + 4 Townhouses (G+1) + F&B ( G).The project designed to have a concrete structure and block with internal and external finishes.",,,,,,,
",Hadaeq Sheikh Mohammed Bin Rashid""",,1,0,0,0,,,,,,,,,,,,,,,,
3271,Ocean Views,1275,MINA RASHID PROPERTIES L.L.C,2025-02-03 00:00:00,2028-09-30 00:00:00,2024-09-17 12:17:38,Normal,90535680,3538454005408,ACTIVE,0.21,2025-05-12 12:01:37,,"Residential Development Consisting of two buildings with one basement floor (car parking)
Building A : (G+6+Roof) : Total of 28 units 
Building B : (G+6+Roof) : Total of 48 units 
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,78.0,
3272,PARKWAY BY PRESTIGE ONE ,2020,PRESTIGE THE PARKWAY REAL ESTATE DEVELOPMENT L.L.C,2025-02-01 00:00:00,2028-01-31 00:00:00,2024-10-30 09:00:07,Normal,60000000,0405899885806,ACTIVE,0.9,2025-09-24 14:16:48,,"G+4P+28+Roof, (Residential Building)",Bukadra,Dubai Municipality,0,0.0,0.0,274.0,
3276,Bonds Avenue Residences,2001,AMIRAH LIVING DEVELOPER L.L.C,2025-01-01 00:00:00,2026-12-31 00:00:00,2024-11-17 19:34:09,Normal,65000000,1011226106287002,ACTIVE,0,2024-09-09 17:46:39,,G+2P+8+R Residential Building.The project designed to have a concrete structure and block with internal and external finishes.,Palm Deira,Trakhees,0,0.0,0.0,75.0,
3280,Moonsa Residences 2,1157,DUGASTA PROPERTIES DEVELOPMENT L.L.C,2025-01-01 00:00:00,2026-12-31 00:00:00,2025-01-02 13:43:58,Normal,22000000,11879528920004,ACTIVE,0.02,2025-09-11 13:39:00,,(B+G+P+6+R) Residential Building.The project designed to have a concrete structure and block with internal and external finishes.,Warsan Fourth,Trakhees,0,0.0,0.0,125.0,
3282,The Collection by NASER,2036,N A S E R REAL ESTATE DEVELOPMENT L.L.C,2025-05-01 00:00:00,2027-06-30 00:00:00,2025-03-07 15:09:05,Normal,20000000,3718484173902,ACTIVE,0,2024-09-11 15:57:04,,B+G+5 Floors+ Roof.The project designed to have a concrete structure and block with internal and external finishes.,Wadi Al Safa 3,Dubai Municipality,0,0.0,0.0,38.0,
3283,Greenridge,1155,EMAAR DUBAI SOUTH DWC LLC,2025-01-30 00:00:00,2028-12-31 00:00:00,2024-09-17 12:10:16,Normal,598386318,019000085138,ACTIVE,1.02,2025-06-04 12:04:34,,"Freehold G+1 Townhouses consisting of 260 nos. of 3Bedroom and 260 nos. of 4Bedroom.The project designed to have a concrete structure and block with internal and external finishes.
",Madinat Al Mataar,Dubai South,0,0.0,520.0,0.0,
3304,Pier Point 1,1275,MINA RASHID PROPERTIES L.L.C,2025-02-22 00:00:00,2028-10-31 00:00:00,2024-09-23 12:29:11,Normal,116886186,4031224036986009,ACTIVE,0.41,2025-05-12 12:03:47,,"Residential Development Consisting of (G + 1P + 9 Floors + Roof) 
Total of 122 units
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,122.0,
3305,Pier Point 2,1275,MINA RASHID PROPERTIES L.L.C,2025-02-22 00:00:00,2028-10-31 00:00:00,2024-09-25 10:27:38,Normal,117097616,0205838083711,ACTIVE,0.34,2025-05-12 12:05:51,,"Residential Development Consisting of (G + 1P + 10 Floors + Roof)
Total of 121 units
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,121.0,
3306,Porto View,1275,MINA RASHID PROPERTIES L.L.C,2025-02-22 00:00:00,2028-10-31 00:00:00,2024-09-23 12:35:39,Normal,112795554,4031224036986006,ACTIVE,0.14,2025-05-12 12:10:25,,"Residential Development Consisting of (G + 1P + 9 Floors + Roof)
Total of 114 units and one Retail
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,115.0,
3308,Expo City Sidr Residences,1576,Expo City Sidr Residences Development FZCO,2025-01-01 00:00:00,2028-03-31 00:00:00,2024-10-30 13:36:44,Normal,579545935,001582132823701,ACTIVE,2.87,2025-03-05 15:01:42,,"Sidr residence consist of 455 luxury apartment units allocated in 3 towers above a single level podium and 3 levels of basement.
Tower 01 - 155 units
Tower 02 - 157 units
Tower 02 - 145 units
And 22 Retail Units",Madinat Al Mataar,Dubai Municipality,0,0.0,0.0,477.0,
3310,105 Residences by Kamdar,1715,KAMDAR PROPERTY DEVELOPMENT L.L.C,2025-03-01 00:00:00,2027-02-28 00:00:00,2024-10-09 09:09:07,Normal,26000000,019500000687,ACTIVE,0.26,2025-05-28 21:03:32,,G+P+5 Residential Building,Al Barsha South Fourth,Trakhees,0,0.0,0.0,105.0,
3311,Eden Hills,1498,EDEN HILLS L.L.C,2025-03-01 00:00:00,2026-12-25 00:00:00,2025-01-22 09:13:22,Normal,3231056119,0205821774103,ACTIVE,1.87,2025-06-24 12:30:26,,"327  Villas ( B) 52 , ( C&D )188 ,( A1-A2) 58  + 29 Plots + Community retail center Retail + F&B +Kindergarten + Police Point +Local Masjid +Private Specialty Polyclinic + Neighborhood Park + Community Park   ",Hadaeq Sheikh Mohammed Bin Rashid,Dubai Municipality,0,0.0,158.0,0.0,
3312,Berkshire Park,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-03-04 00:00:00,2027-06-30 00:00:00,2024-10-11 16:34:27,Normal,116932750,4031224702173071,ACTIVE,0,2024-09-20 16:04:47,,Residential Apartment Building + Ground Floor Retail G+P+12+R + Parking in Ground floor & Podium Floor,Al Yelayiss 2,Dubai Development Authority (DDA),0,0.0,0.0,149.0,
3316,Greenville,1155,EMAAR DUBAI SOUTH DWC LLC,2025-01-30 00:00:00,2029-03-31 00:00:00,2024-10-04 10:35:56,Normal,167536606,11134281920027,ACTIVE,7.88,2025-08-29 11:13:16,,"Freehold G+1 Townhouses consisting of 70 nos. of 3Bedroom and 70 nos. of 4Bedroom
",Madinat Al Mataar,Dubai South,0,0.0,140.0,0.0,
3317,W Residences at Dubai Harbour,1409,ARADA DEVELOPMENTS L.L.C S.O.C,2025-06-15 00:00:00,2027-12-31 00:00:00,2024-10-18 10:49:01,Normal,1772000000,0023429246003,ACTIVE,0,2025-06-30 09:49:39,,"Our project ?W Residences at Dubai Harbour? by ARADA Developments located at Marsa Dubai, Plot No. 3920718. The Project is a residential development with total 495 number of residential units. Initially we will be launching Tower 1, with total number of 160 residential units. Tower 2 and Tower 3 will be part of future development.

Launched in collaboration with Marriott International", over 400 impeccably appointed branded apartments in the AED4 billion complex will offer owners the chance to experience a positive, fulfilling and active lifestyle. Set to be completed in 2028, W Residences at Dubai Harbour offers luxury marina living with breathtaking views of the Dubai skyline. ,,,,
The three towers of W Residences at Dubai Harbour are connected by a podium that contains an impressive range of amenities, including Dubai?s longest infinity pool, at 200 metres, which is located on the landscaped podium level, which offers a full sea view in the direction of Ain Dubai. Other exclusive facilities include a generously sized 170 square metre residents lounge, a music recording studio, a sports simulator room, a games room, an in-house cinema, a large fitness centre, a yoga and pilates studio, a wellness spa, guest suites for visiting friends and relatives, co-working spaces and a kids club. Facilities in the complex open to members of the public include a selection of fine dining outlets and retail units on the podium level, as well as a 40,000 square foot Wellfit fitness centre," the largest gym in the Dubai Harbour area.""",,,,,
",Marsa Dubai""",Dubai Development Authority (DDA),0,0,0,494,,,,,,,,,,,,,,,,
3319,Greenville 2,1155,EMAAR DUBAI SOUTH DWC LLC,2025-01-30 00:00:00,2029-03-31 00:00:00,2024-10-07 10:49:03,Normal,176434088,11134281920029,ACTIVE,6.43,2025-08-29 11:15:06,,Freehold G+1 Townhouses consisting of 74 nos. of 3Bedroom and 74 nos. of 4Bedroom.The project designed to have a concrete structure and block with internal and external finishes.,Madinat Al Mataar,Dubai South,0,0.0,148.0,0.0,
3320,311 Boulevard by Bam Eskan,1776,BAM ESKAN REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-10-01 00:00:00,2025-02-20 14:19:59,Normal,190900000,13766416920002,ACTIVE,0,2024-10-02 15:36:28,,bldg G+3P+15+Roof,Al Barsha South Fourth,Trakhees,0,0.0,0.0,399.0,
3322,CORAL ISLE RESIDENCES,1429,GROVY HOMES REAL ESTATE DEVELOPMENT L.L.C,2025-04-15 00:00:00,2027-03-31 00:00:00,2025-05-05 14:38:52,Normal,35000000,0000695010000002,ACTIVE,0,2024-12-06 15:46:36,,G+2P+8,Palm Deira,,0,0.0,0.0,68.0,
3323,The Chedi Private Residences,1014,ALSEEB REAL ESTATE DEVELOPMENT L.L.C,2025-03-01 00:00:00,2029-02-28 00:00:00,2024-12-10 11:38:43,Normal,500000000,001582141514101,ACTIVE,0.01,2025-06-10 10:20:41,,Branded Residences with Ground Floor + 5 podiums + 44 Floors + 3 Mechanical Floors,Al Thanyah First,Dubai Development Authority (DDA),0,0.0,0.0,118.0,
3325,Bearys Wafira,1515,BEARYS GLOBAL VENTURES REAL ESTATE DEVELOPMENT L.L.C,2025-03-15 00:00:00,2028-03-30 00:00:00,,Normal,180000000,,PENDING,0,2024-10-12 16:24:27,,Residential And Retail Building (B+G+3P+25+R),Um Hurair Second,,0,0.0,0.0,90.0,
3329,Rome 2 by SD,1688,SAMANA STAR REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-06-30 00:00:00,2024-11-19 14:47:41,Normal,22000000,1009738327,ACTIVE,2.17,2025-06-17 12:15:36,,"B+G+5+R.The project designed to have a concrete structure and block with internal and external finishes.
",Wadi Al Safa 3,Dubai Municipality,0,0.0,0.0,42.0,
3331,Palm Jebel Ali - Frond A,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-12 12:29:30,Normal,345792153,0205839681324,ACTIVE,0.68,2025-07-28 14:56:26,,"Residential project consists of 60 G + 2 villas, including 30 Nos 5-Bedroom and 30 Nos 6-Bedroom Villas",Palm Jabal Ali,Trakhees,0,0.0,60.0,0.0,
3332,THE ONE by Prestige One,1614,PRESTIGE THE ONE REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-06-30 00:00:00,2024-11-04 00:00:00,Normal,35000000,0405902189606,ACTIVE,1.05,2025-06-26 18:47:11,,3B+G+14+Roof.The project designed to have a concrete structure and block with internal and external finishes.,Al Thanyah First,Dubai Development Authority (DDA),0,0.0,0.0,41.0,
3337,Avenue Park Towers,1203,PARK 1 L.L.C,2025-08-01 00:00:00,2028-12-31 00:00:00,2024-11-08 11:56:33,Normal,871552281,0205256122110,ACTIVE,0,2024-10-16 13:10:52,,G (Retail) + 5F (Parking) + 3F (Office) + 34 / 28 Residential Towers + Roof.,Al Kifaf,Dubai Municipality,0,0.0,0.0,671.0,
3339,Verano By Prescott,1207,PRESCOTT REAL ESTATE DEVELOPMENT L.L.C,2025-03-30 00:00:00,2026-12-31 00:00:00,2024-12-31 12:08:57,Normal,101175000,200824099,ACTIVE,1.73,2025-05-14 18:23:29,,1B+G+7Floor+Roof.The project designed to have a concrete structure and block with internal and external finishes.,Al Hebiah Second,Dubai Development Authority (DDA),0,0.0,0.0,269.0,
3343,ELM AT PARK FIVE,15,DEYAAR DEVELOPMENT (P.J.S.C),2025-04-01 00:00:00,2027-06-01 00:00:00,2024-12-09 10:13:06,Normal,238000000,001582142020401,ACTIVE,0,2024-10-15 11:25:25,,"Tower: (B+G+P+11+R) Floors Residential Building - Fully equipped gym, Landscaped BBQ Area, Kids Play Area, Multipurpose Room, Swimming pool, Kids swimming pool,2 Plunge Pools, Sand Sport Area @ the Podium Floors. Volleyball/Football/Basketball Hoop, Green Lawn or Dog Park @ the Roof . 
 ",Me'Aisem First,Dubai Development Authority (DDA),0,0.0,0.0,532.0,
3344,EMBER AT PARK FIVE,15,DEYAAR DEVELOPMENT (P.J.S.C),2025-04-01 00:00:00,2027-06-01 00:00:00,2024-12-16 15:16:16,Normal,115000000,001582143761201,ACTIVE,0,2024-10-15 11:28:31,,"Tower:(B+G+P+11+R) Floors Residential Building - Fully equipped Cinema Room,Gym,Landscaped BBQ Area, Kids Play Area,Swimming pool,Kids swimming pool,Plunge Pools,Sand Pit Kids Play Area @ the Podium Floors &
Sand Sport Area Volleyball/Football/Basketball Hoop,Green Lawn @ the Roof .  ",Me'Aisem First,Dubai Development Authority (DDA),0,0.0,0.0,205.0,
3346,MADA'IN,542,MARINA ARCADE REAL ESTATE (L.L.C),2025-02-25 00:00:00,2028-02-28 00:00:00,2025-02-19 12:02:08,Normal,431660700,1009777325,ACTIVE,0,2024-12-25 12:13:29,,Residential building - 4 basement + G + 4P + 66 Floors + Roof as follow + 214 units residential with no retail.,Marsa Dubai,Dubai Municipality,0,0.0,0.0,982.0,
3347,Palm Jebel Ali - Frond B,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-12 12:31:35,Normal,453550070,0205839681326,ACTIVE,0.59,2025-07-28 14:58:12,,"Residential project consists of 78 G + 2 villas, including 38 Nos 5-Bedroom and 40 Nos 6-Bedroom.",Palm Jabal Ali,Trakhees,0,0.0,78.0,0.0,
3348,TREPPAN TOWER,1415,FAKHRUDDIN PROPERTIES DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-04-01 00:00:00,2024-12-24 14:04:59,Normal,95000000,0205803134514,ACTIVE,0,2024-10-16 13:45:31,,(G+5P+27F) + Retail@G.Floor Residential Tower. ,Al Barsha South Fifth,Trakhees,0,0.0,0.0,264.0,
3352,Palm Jebel Ali - Frond E,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-12 16:16:41,Normal,640408528,29172450,ACTIVE,0.41,2025-07-28 16:46:13,,"Residential project consists of 110 G + 2 villas, including 51 Nos 5-Bedroom and 59                      Nos 6-Bedroom.",Palm Jabal Ali,Trakhees,0,0.0,110.0,0.0,
3353,Palm Jebel Ali - Frond C,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-12 12:33:48,Normal,576973655,0205839681320,ACTIVE,0.57,2025-07-28 16:41:08,,"Residential project consists of 100 G + 2 villas, including 48 Nos 5-Bedroom and 52 Nos 6-Bedroom .",Palm Jabal Ali,Trakhees,0,0.0,100.0,0.0,
3354,Palm Jebel Ali - Frond F,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-12 16:22:02,Normal,471047569,0205839681322,ACTIVE,0.4,2025-07-28 16:48:14,,"Residential project consists of 80 G + 2 villas, including 33 Nos 5-Bedroom and 47 Nos 6-Bedroom.",Palm Jabal Ali,Trakhees,0,0.0,80.0,0.0,
3356,The Orchard Place- Towers D&E,1476,PEAK SUMMIT REAL ESTATE DEVELOPMENT L.L.C,2025-05-21 00:00:00,2028-03-21 00:00:00,2025-05-22 15:01:13,Normal,130000000,1011225707918010,ACTIVE,0,2025-02-07 00:06:43,,MIXED-USE RESIDENTIAL TOWERS (G+4P+2TOWERS(25F+31F)+R),Al Barsha South Fourth,Trakhees,0,0.0,0.0,400.0,
3357,EMPIRE LAKEVIEWS,2046,EMPIRE CROWN REAL ESTATE DEVELOPMENT L.L.C,2025-06-25 00:00:00,2028-06-24 00:00:00,2025-01-13 18:59:44,Normal,60062500,0205902532504,ACTIVE,0,2024-10-22 18:12:38,,"Proposed 4B+G+29 Residential Building,The project designed to have a concrete structure and block with internal and external finishes.
",Wadi Al Safa 2,Dubai Development Authority (DDA),0,0.0,0.0,604.0,
3359,77 Boulevard By Bam ,1837,BAM REAL ESTATE DEVELOPMENT L.L.C,2025-01-10 00:00:00,2026-09-10 00:00:00,2025-03-12 12:13:20,Normal,41000000,200828268,ACTIVE,0,2024-12-31 11:17:51,,G+G+R,Al Barsha South Fourth,Trakhees,0,0.0,0.0,58.0,
3361,Knightsbridge Park,2088,LEOS SOF REAL ESTATE DEVELOPMENT L.L.C,2025-04-15 00:00:00,2027-11-15 00:00:00,2024-11-15 09:50:04,Normal,152922000,0205899233303,ACTIVE,0,2024-10-25 07:21:38,,"Knightsbridge, Dubai?s first climate-adaptive wellness community, presents an exclusive boutique oasis inspired by British architectural style. Nestled in the heart of Meydan District 11.

Knightsbridge will be home to 66 luxury homes, including meticulously designed 6 & 5 bedroom waterfront villas and 4 bedroom townhouses, all set amidst crystal-clear waters, lush green areas, and open skies.

This serene haven of luxury and natural beauty redefines luxury living by seamlessly integrating innovative environmental technology with timeless design, ensuring a lifestyle that harmonizes comfort and sustainability.
Discover a new era of world-class wellness, where every element is crafted to enhance well-being while adapting to Dubai?s unique climate",Wadi Al Safa 3,Dubai Municipality,0,0.0,66.0,0.0,
3363,Emerge Residences ,1895,N A A S REAL ESTATE DEVELOPMENT L.L.C,2025-08-01 00:00:00,2027-11-01 00:00:00,2025-08-22 19:31:53,Normal,40000000,13532431920002,ACTIVE,0,2024-11-25 20:04:49,,"Ground plus 6, units and retails.The project designed to have a concrete structure and block with internal and external finishes.",Nad Al Shiba First,Dubai Municipality,0,0.0,0.0,82.0,
